Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,$,$,$,$,$,$,$,F,C,C,$,$,$,$,$,$,$,$,$,B,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,B,$,$,C-,C,C+,B-,$,A-,B,B-,A,$,B+,B-,B,$,A,$,$,$,$,$,$,$,A,C+,$,$,B-,$,$,B,$,A,$,A-,A,C,$,$,$,$,B,B-,B,$,$,$,$,$,$,A-,$,$,B+,$,$,A-,A-,A,C-,B-,B,$,$,$,$,$,$,A
$,$,$,$,B-,$,$,$,$,D,C,C-,$,$,C+,C+,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,B,$,$,$,$,$,D,F,C-,$,$,$,$,C,$,C,$,C-,B-,$,$,$,$,$,$,B-,$,$,$,$,C,$,$,D+
B+,$,$,$,$,$,$,$,B,$,A,$,$,C+,C,B-,$,$,$,$,A-,$,$,B-,B,$,$,$,$,$,$,$,$,$,A-,$,B,$,B,$,C,$,$,$,$,B,$,$,$,$,$,$,$,B,B,A-,$,$,$,$,$,$,$,$,$,$,B+,B,A-,$,$,B
$,$,$,$,C,$,$,$,C,C-,C,F,$,$,C+,C,D,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B+,$,$,$,B-,B,$,$,$,$,$,C-,C,C,$,$,$,$,$,$,B,$,B+,C,$,$,$,$,$,$,C,$,$,$,$,A,C-,$,C
$,$,$,$,B,F,$,F,$,B,F,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,C,D+,$,$,C+,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,B+,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,A,F,$,$,$,$,$,$,$,$,B,$,$,$,F,$,$,$,$,$,F,$,$,$,$,F,$,B+,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,C,A,B-,$,$,F,C-,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,D,B,F,$,$,B+,$,$,$,C,B,A,B+,$,$,$,$,$,$,B,$,$,$,$,B,$,$,D
$,$,$,$,C,B,B,B,$,C+,B+,B,$,$,B-,B,B-,$,A,$,$,$,$,$,$,$,B,B+,$,$,B,$,$,B,$,$,$,B,A,B+,$,$,$,$,B,B+,B,$,$,$,$,C+,$,B,$,$,B,$,$,B+,A-,B+,A-,B-,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,C,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C-,F,D,C-,$,B+,C,C-,$,$,C+,C+,D+,$,A,$,$,$,$,$,$,$,C-,C-,$,$,C+,$,$,C,$,$,A-,C-,C+,D,$,$,$,$,C+,C,C,$,$,$,$,C,$,C,$,$,B,$,$,B-,B,A,C+,B+,C-,$,$,$,$,$,$,$
$,$,$,$,C,D,C,F,$,$,A,B,$,$,B,C,C,$,A,$,$,B,B,$,$,$,B-,C,B-,$,B,$,$,$,$,$,$,C,A,$,$,$,$,$,C,C,C,$,C+,$,$,$,B-,B,$,$,B-,B,$,C,B-,B,A,C,C,$,$,$,$,B,$,$
$,$,$,$,$,$,$,$,$,D,B-,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,C,C,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,B-,$,$,$,$,$,$,F,F,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,B+,A,A,A,A,$,A,A,$,$,A,A,A-,$,A,$,$,$,$,$,$,$,A,A,$,$,A,$,$,$,$,A,$,A,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,A,A,$,$,$,$,A-,$,$
$,A,$,$,$,C,B,A-,$,A,A,A,$,$,B-,$,C+,$,A,$,$,$,$,$,$,$,C+,B,$,$,A,$,$,$,$,B,$,B,A,B,$,$,$,$,B,B,B-,$,$,$,$,$,$,$,$,$,A,$,$,C+,C+,A,B-,A,A-,$,$,$,$,$,$,$
$,$,$,$,C,C-,$,$,C,C,B,A-,$,$,C,B,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,B-,C,$,$,$,$,$,B,A-,C+,$,$,$,$,$,$,$,C,$,B+,$,$,B,$,$,$,$,$,$,C+,$,B-,B-,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,$,$,C+,$,$,C-,C,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,B,B+,$,$,$,B,$,C-,C+,D,$,$,$,$,$,$,F,$,A-,F,$,$,$,$,$,C+,C-,$,$,$,$,C-,F,$,C+
$,A-,$,$,$,$,C,$,$,A,A-,B,$,$,B+,A-,C,$,A,$,$,$,$,$,$,$,A-,B,$,$,B-,$,$,B,$,A,$,B,A,B,$,$,$,$,A-,A-,A-,$,$,$,$,$,$,B,$,$,$,$,$,B,A-,A,A-,A,C+,$,$,$,$,$,$,$
$,$,$,$,$,C,C+,F,$,A,A,B-,$,$,C-,C,F,$,B,$,$,$,$,$,$,$,C+,C,$,$,C,$,$,C+,$,$,$,C+,C,$,$,$,$,$,C-,C+,C+,$,$,$,$,$,$,B,$,$,B,$,$,$,D+,$,C+,$,F,$,$,$,A,$,$,$
$,$,$,$,D,C,C-,F,$,C,D,D+,$,$,C,C,D,$,C,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,B,C,$,$,$,B,$,C-,B,C-,$,$,$,$,$,$,C,B,$,B-,$,$,$,$,$,C-,B-,C-,$,$,$,B,$,$,$
$,$,$,$,D,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
C,$,$,$,$,$,$,$,F,$,$,$,$,$,C,C,$,$,$,$,B,$,$,F,D+,$,$,$,$,$,$,$,$,$,C+,$,A,$,B,$,D,$,$,$,$,C,$,$,$,$,$,$,$,B,C,B,$,$,$,$,$,$,$,$,$,$,C,B,A,F,$,C
$,B,$,$,C,D,$,F,$,D,A,D,$,$,C+,B,C+,$,A,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,C,C+,B+,$,$,$,$,$,C-,B,C+,$,$,$,$,F,$,B,F,$,C,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,A-
$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,B,C,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
A,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,B,$,$,$,$,$,$,$,A,B,$,$,$,$,$,$,$,$,B+,A,$,$,$,A,$,B,$,$,$,$,A-,$,$,$,A,$,$,$,A-,B,A,$,$,$,$,$,$,$,$,$,$,A,B,A,$,$,A
$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,C-,B,A,$,C,B,B,$,$,B+,A-,B,$,A,$,$,$,$,$,$,$,B-,C-,$,$,B,$,$,$,$,A,$,A,A,A-,$,$,$,$,B,A,B+,$,$,$,$,$,$,A,$,$,A,$,$,B,C,A-,B-,B-,C,$,$,$,$,C,$,$
$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,F,A-,B+,$,B,B,C,$,$,C,C+,F,$,A,$,$,$,$,$,$,$,C,B,$,$,B,$,$,$,D,B+,$,B,B,B,$,$,$,$,D,B,F,$,$,$,$,$,$,C,C,$,B-,$,$,C,C,B+,B,B+,C,$,$,$,$,A,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,F,D,A-,$,$,F,$,$,$,$,A,$,C,$,C,B,$,$,$,$,$,$,$,$,$,$,B-,$,A,C+,B,$,C-,$,C,$,$,C-,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$
$,$,$,$,$,$,A,A-,$,B-,B,B-,A,$,B,A,A-,$,A-,$,$,$,$,$,$,$,B,B,$,$,B,$,$,B+,$,$,$,B,$,A-,$,$,$,$,A-,A-,B,$,$,$,$,$,$,$,$,$,A-,$,$,A-,A,A,B,B+,A-,$,$,$,$,$,$,$
$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C-,$,$,$,$,B-,A,$,$,A-,A,$,$,$,$,$,A,$,$,A-,$,$,$,$,$,$,$,$,$,$,A,$,A,B-,A,$,B,$,$,$,$,B,$,$,$,A-,$,B,$,B,A-,A,$,$,A,$,$,$,$,$,$,$,$,$,A-,$,$,$
$,B,$,$,$,$,$,F,$,$,$,C-,$,$,B-,C-,F,$,A-,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,B,B,$,$,$,$,$,C-,B,B-,$,$,$,$,$,$,$,$,A,A-,$,$,$,$,$,C-,C+,D,$,$,$,B,$,$,B-
$,$,$,$,C,B,$,$,$,$,C,C-,$,C+,$,C-,C-,$,B,$,B,$,$,B,$,$,$,$,$,$,$,$,$,B,B+,$,A,$,B+,$,C,$,$,$,$,B,$,$,$,C+,$,$,$,A,A,B,$,$,A,$,$,$,$,$,$,$,B,B-,B+,B,$,$
$,B-,$,$,D,$,$,$,$,$,A-,C-,$,$,C+,B,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,C-,A,$,$,$,$,$,A-,C,C+,$,$,$,$,$,$,B+,$,$,B-,$,$,B,$,$,$,$,$,$,$,$,C,$,$,B-
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,D,D,$,$,$,$,$,$,$,$,$,F,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,F,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,B,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,C,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,D,$,$
$,$,$,$,B,C-,B,C+,$,$,$,$,$,$,$,$,$,$,A-,$,$,$,$,$,$,$,B-,B,$,$,$,$,$,$,$,A-,$,B,B,B,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$
C,$,$,$,$,$,$,$,$,$,$,D,$,$,F,F,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,F,B,$,$,C
$,$,$,$,B,C,B,$,$,B,B,C,$,$,C,B,D,$,$,$,$,C,A,$,$,$,D,C-,C-,$,D,$,$,$,$,$,$,B,B,$,$,$,$,$,C+,B,B,$,B-,$,$,$,B-,B,$,$,B-,B,$,D,C+,C-,C+,B,D+,$,$,$,$,$,$,$
$,$,$,$,B,$,$,$,B,A,B,$,$,A,$,$,C,$,$,$,B,$,$,A,$,$,$,$,$,$,$,$,$,$,A,$,B,$,A,$,A,$,A,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,C+,C+,B+,$,B-,C,C+,$,$,B,B+,C,$,B,$,$,$,$,$,$,$,B+,B,$,$,B+,$,$,$,$,A-,A,B+,A,B,$,$,$,$,B-,B+,A-,$,$,$,$,B,$,B,$,$,A,$,$,B-,A,B+,B,B,B-,$,$,$,$,$,$,$
$,$,$,$,A,A,A,A-,$,$,$,A,A,$,A,$,A,$,A,$,$,$,$,$,$,$,A,A,$,$,A,$,$,$,$,A,$,A,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,$,$,$,A,$,$,A,A,A-,A,A,A,$,$,$,$,$,$,$
$,B-,$,$,A,B+,$,$,$,$,$,C+,B,$,B,A-,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,A,B,$,$,$,$,$,B,A-,B+,$,$,$,$,$,$,A,A,$,A,$,$,$,$,$,$,$,$,$,B+,$,A,B,$,B
$,A,$,$,A,D+,B,C+,$,$,$,B,$,$,B+,$,B-,$,A,$,$,$,$,$,$,$,A,A-,$,$,A,$,$,$,$,A-,$,A,A,B,$,$,$,$,B+,B,B+,$,$,$,$,$,$,A,$,$,A-,$,$,A,B,B,C+,A,B,$,$,$,$,B,$,$
$,$,$,$,F,C,C,$,B,B,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$
$,A,$,$,A,A,A,A,$,$,A,A,$,$,A,$,A,$,A,$,$,$,$,$,$,$,A,A,$,$,A-,$,$,$,$,A,$,A,A,A,$,$,$,$,A-,A,A,$,$,$,$,$,$,A,$,$,A-,$,$,A-,A,A,B+,A-,A,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A-,$,$,$,$,$,$,$,A-,A,A,$,$,$,B,B,$,$,$,$,B,$,$,A,B,$,$,$,$,$,$,$,$,B+,B,$,A,$,A,$,A-,$,$,$,$,B,B,B,$,$,$,$,$,A,A-,B,$,$,$,$,$,$,$,$,$,$,B-,B+,A-,$,$,B+
$,C-,$,$,C,F,$,$,$,B,B,C-,$,$,C,C-,C,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,B-,C,$,$,$,$,$,C-,C-,C+,$,$,$,$,C,$,C,A-,B,B-,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,B-
$,$,$,$,C,$,$,$,C-,C+,C,C-,$,$,C,B,C,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,B-,$,$,$,B,C+,$,$,$,$,$,C-,B,C-,$,$,$,$,$,$,C,$,C,C,$,$,$,$,$,$,C-,$,$,$,$,C+,B-,$,$
$,$,$,$,$,$,$,$,F,C,A,$,$,D,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,C,$,$,D,$,D,$,C,$,D,$,B,$,$,$,$,C+,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B,$,$,B,$,$,$,C,B,A,B-,B,$,B+,B,D,$,A,$,$,$,$,$,$,$,B+,$,$,$,B+,$,$,$,B,$,A,A-,A,$,$,$,$,$,B-,A-,B-,$,$,$,$,$,$,B,A,A,A,$,B+,$,$,$,$,$,$,$,$,$,A-,C+,$,B-
$,$,$,$,$,$,$,$,F,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C-,F,D,F,$,C,B-,B+,$,$,C,B-,C-,$,B,$,$,$,$,$,$,$,C+,C,$,$,C,$,$,B-,$,$,A,B-,A,C,$,$,$,$,C,B-,B-,$,$,$,$,$,$,F,$,B,B,$,$,C+,C+,A-,B-,A,D+,$,$,$,$,$,$,$
$,C-,$,$,D,F,$,$,$,A,B-,B-,$,$,C,B,C-,$,$,$,$,$,$,$,$,$,B,$,$,$,C,$,$,$,$,$,$,B,C,$,$,$,$,$,B-,B-,B-,$,$,$,$,D,$,A,A-,B+,B,$,$,B,$,$,C+,C,$,$,A-,C,A-,$,$,D+
B,$,$,$,$,$,$,$,A,A,A,C,$,C+,$,B,$,$,$,$,A-,$,$,C,$,$,$,$,$,B,$,$,$,$,C,$,A,$,A,$,C,$,$,$,$,B,$,$,$,$,$,$,$,B,B,B,$,$,$,$,$,$,$,$,$,$,B-,B,B-,$,$,B-
$,$,$,$,C,D,$,F,$,C,D,F,$,$,F,C+,F,$,B+,$,$,$,$,$,$,$,C+,C+,$,$,D+,$,$,$,$,$,$,C-,D,$,$,$,$,$,D,C,C-,$,$,$,$,C,$,B,$,A,F,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B+
$,$,$,$,C-,$,$,$,$,$,$,F,$,$,C,C-,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,C,D+,$,$,$,$,$,D,B,F,$,$,$,$,F,$,A,F,B,C+,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B
$,$,$,$,$,$,$,$,F,A,C+,$,$,$,$,$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C-,B-,B,C,$,B-,B,D,$,$,C,C+,C+,$,A,$,$,$,$,$,$,$,B-,D,$,$,B,$,$,$,$,$,$,B-,C,B-,$,$,$,$,C+,C,D+,$,$,$,$,$,$,F,$,C,F,$,$,C,B,B,B-,B-,C-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,A-,A,A-,$,$,A-,A,B,$,$,$,A-,$,$,A-,$,$,$,$,$,$,$,$,A,B+,$,$,$,B+,A,$,$,$,$,$,A,A,A,$,$,$,$,$,$,A-,$,$,A,$,$,$,$,$,A-,A,$,$,$,$,A,$,$,$
$,B,$,$,$,$,$,B+,$,$,$,A,A-,$,B,B,B,$,A,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B+,$,$,$,A-,$,A-,$,$,$,$,A-,A,A,$,$,$,$,$,$,A,$,$,$,$,$,B,B,A,B,A,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,A-,A,B,$,$,B,B-,C+,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,A,B-,B,$,$,$,B,$,B+,B-,B-,$,$,$,$,C-,$,B+,$,A-,A-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,B+
$,$,$,$,A-,F,$,F,$,B+,A-,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,$,$,C,F,$,$,$,B,$,$,C-,C-,D+,$,$,B,$,$,$,$,C,A-,$,B,$,$,$,$,$,$,$,B,$,$,C,D,$,B,$,$,$,$,C,$,F,$,$,$,$,$,B,B,D+,$,$,$,$,$,$,$,$,$,$,C,C,B,$,$,C-
$,$,$,$,B,B,C,C,$,$,$,C,$,$,C+,B-,C,$,A-,$,$,$,$,$,$,$,B,B-,$,$,B+,$,$,$,$,A,B+,B+,A-,B-,$,$,$,$,B,B+,B,$,$,$,$,B,$,B,$,$,A-,$,$,B-,C,A,B-,B+,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,$,D+,$,$,$,$,B,A-,$,$,B,B,C,$,$,$,A,A-,$,$,B,B-,$,$,$,$,B,$,$,$,C,A-,$,A-,B+,B,$,B-,$,$,$,$,C+,C+,$,$,A,$,F,$,C,B-,A,$,$,$,$,$,$,$,$,$,$,B+,A-,B,$,$,A-
$,$,$,$,A-,F,$,$,$,B,A,D,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,A,D,B,$,$,$,$,$,$,C+,F,$,$,$,$,F,$,B,$,$,F,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,$,$,$,$,F,$,B+,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B+,$,$,$,$,$,$,$,$,A,B,$,$,A-,B,C+,$,$,$,$,B,$,$,B,C+,$,$,$,$,$,$,B,$,$,B-,$,$,$,B+,$,A-,$,$,$,$,C,$,$,$,$,$,$,$,B,B,A-,$,$,$,$,$,$,$,$,$,$,A,B-,B+,$,$,B-
$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,B,$,$,$,$,$,$,C,F,$,$,$,$,$,$,C,B,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$
$,$,$,$,F,$,F,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,B,B,B,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,D,$,$,$,F,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,D,F,F,F,$,F,C,D,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,C-,B,F,$,$,$,$,$,$,B,B,A,C,$,$,$,$,$,$,$,$,$,B-,$,C,$,$,B-
B,$,$,$,$,$,$,$,F,F,B,C-,$,$,$,B,$,$,$,$,C+,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,C,$,$,$,$,C,$,$,$,$,$,$,$,B,C,A,$,$,$,$,$,$,$,$,$,$,C,A,B,$,$,C
$,$,$,$,$,F,D,D,$,$,$,D,D,$,C,D,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,D,$,$,$,$,$,C,C,D,$,$,$,$,$,$,C,C,$,D,$,$,$,$,$,$,$,D+,$,C,B,B,$,$,B
$,$,$,$,F,$,$,$,$,B,B,C-,$,$,C,B,F,$,$,$,$,$,$,A-,$,$,$,$,$,$,C,$,$,$,B-,$,$,C,B,$,$,$,$,$,C,C,C,$,$,$,$,D,$,C,C,B,F,$,$,$,$,$,C,C,$,$,$,$,B,$,$,B-
